season,number,production_code,episode_title,guest_star,role
2,018–205,7F05,Dancin' Homer,Tony Bennett,Himself
2,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Larry King,Himself
2,031–218,7F18,Brush with Greatness,Ringo Starr,Himself
3,040–305,8F04,Homer Defined,Chick Hearn,Himself
3,040–305,8F04,Homer Defined,Magic Johnson,Himself
3,048–313,8F11,Radio Bart,Sting,Himself
3,052–317,8F13,Homer at the Bat,Wade Boggs,Himself
3,052–317,8F13,Homer at the Bat,Jose Canseco,Himself
3,052–317,8F13,Homer at the Bat,Roger Clemens,Himself
3,052–317,8F13,Homer at the Bat,"Ken Griffey, Jr.",Himself
3,052–317,8F13,Homer at the Bat,Don Mattingly,Himself
3,052–317,8F13,Homer at the Bat,Steve Sax,Himself
3,052–317,8F13,Homer at the Bat,Mike Scioscia,Himself
3,052–317,8F13,Homer at the Bat,Ozzie Smith,Himself
3,052–317,8F13,Homer at the Bat,Darryl Strawberry,Himself
3,058–323,8F23,"Brother, Can You Spare Two Dimes?",Joe Frazier,Himself
4,063–404,9F02,Lisa the Beauty Queen,Bob Hope,Himself
4,065–406,9F03,Itchy & Scratchy: The Movie,Neil Armstrong (archival),Himself
4,066–407,9F05,Marge Gets a Job,Tom Jones,Himself
4,068–409,9F07,Mr. Plow,Linda Ronstadt,Herself
4,068–409,9F07,Mr. Plow,Adam West,Himself
4,071–412,9F10,Marge vs. the Monorail,Leonard Nimoy,Himself
4,076–417,9F15,Last Exit to Springfield,Joyce Brothers,Herself
4,078–419,9F16,The Front,Brooke Shields,Herself
4,079–420,9F18,Whacking Day,Barry White,Himself
4,080–421,9F20,Marge in Chains,David Crosby,Himself
4,081–422,9F19,Krusty Gets Kancelled,Johnny Carson,Himself
4,081–422,9F19,Krusty Gets Kancelled,Hugh Hefner,Himself
4,081–422,9F19,Krusty Gets Kancelled,Bette Midler,Herself
4,081–422,9F19,Krusty Gets Kancelled,Luke Perry,Himself
4,081–422,9F19,Krusty Gets Kancelled,Elizabeth Taylor,Herself
4,081–422,9F19,Krusty Gets Kancelled,Barry White,Himself
5,082–501,9F21,Homer's Barbershop Quartet,David Crosby,Himself
5,082–501,9F21,Homer's Barbershop Quartet,George Harrison,Himself
5,088–507,1F05,Bart's Inner Child,James Brown,Himself
5,089–508,1F06,Boy-Scoutz 'n the Hood,Ernest Borgnine,Himself
5,091–510,1F08,"$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)",Gerry Cooney,Himself
5,091–510,1F08,"$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)",Robert Goulet,Himself
5,093–512,1F11,Bart Gets Famous,Conan O'Brien,Himself
5,094–513,1F10,Homer and Apu,James Woods,Himself
5,096–515,1F13,Deep Space Homer,Buzz Aldrin,Himself
5,096–515,1F13,Deep Space Homer,James Taylor,Himself
6,108–605,2F02,Sideshow Bob Roberts,Dr. Demento,Himself
6,108–605,2F02,Sideshow Bob Roberts,Larry King,Himself
6,118–615,2F12,Homie the Clown,Dick Cavett,Himself
6,118–615,2F12,Homie the Clown,Johnny Unitas,Himself
6,120–617,2F14,Homer vs. Patty and Selma,Mel Brooks,Himself
6,125–622,2F32,'Round Springfield,Steve Allen,Himself
6,128–625,2F16,Who Shot Mr. Burns? Part 1,Tito Puente,Himself
7,129–701,2F20,Who Shot Mr. Burns? Part 2,Tito Puente,Himself
7,130–702,2F17,Radioactive Man,Mickey Rooney,Himself
7,133–705,3F03,Lisa the Vegetarian,Linda McCartney,Herself
7,133–705,3F03,Lisa the Vegetarian,Paul McCartney,Himself
7,134–706,3F04,Treehouse of Horror VI,Paul Anka,Himself
7,142–714,3F11,Scenes from the Class Struggle in Springfield,Tom Kite,Himself
7,143–715,3F12,Bart the Fink,Bob Newhart,Himself
7,146–718,3F16,The Day the Violence Died,Suzanne Somers,Herself
7,152–724,3F21,Homerpalooza,Peter Frampton,Himself
8,156–803,4F03,The Homer They Fall,Michael Buffer,Himself
8,163–810,3G01,The Springfield Files,Leonard Nimoy,Himself
8,174–821,4F17,The Old Man and the Lisa,Bret Hart,Himself
8,177–824,4F20,The Simpsons Spin-Off Showcase,Tim Conway,Himself
9,184–906,5F03,Bart Star,Roy Firestone,Himself
9,184–906,5F03,Bart Star,Joe Namath,Himself
