number,production_code,episode_title,guest_star,role,sector
018–205,7F05,Dancin' Homer,Tony Bennett,Himself,Musician
024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Larry King,Himself,Media & Journalism
031–218,7F18,Brush with Greatness,Ringo Starr,Himself,Musician
040–305,8F04,Homer Defined,Chick Hearn,Himself,Media & Journalism
040–305,8F04,Homer Defined,Magic Johnson,Himself,Athlete
048–313,8F11,Radio Bart,Sting,Himself,Musician
052–317,8F13,Homer at the Bat,Wade Boggs,Himself,Athlete
052–317,8F13,Homer at the Bat,Jose Canseco,Himself,Athlete
052–317,8F13,Homer at the Bat,Roger Clemens,Himself,Athlete
052–317,8F13,Homer at the Bat,"Ken Griffey, Jr.",Himself,Athlete
052–317,8F13,Homer at the Bat,Don Mattingly,Himself,Athlete
052–317,8F13,Homer at the Bat,Steve Sax,Himself,Athlete
052–317,8F13,Homer at the Bat,Mike Scioscia,Himself,Athlete
052–317,8F13,Homer at the Bat,Ozzie Smith,Himself,Athlete
052–317,8F13,Homer at the Bat,Darryl Strawberry,Himself,Athlete
058–323,8F23,"Brother, Can You Spare Two Dimes?",Joe Frazier,Himself,Athlete
063–404,9F02,Lisa the Beauty Queen,Bob Hope,Himself,Actor
065–406,9F03,Itchy & Scratchy: The Movie,Neil Armstrong (archival),Himself,Science & Education
066–407,9F05,Marge Gets a Job,Tom Jones,Himself,Musician
068–409,9F07,Mr. Plow,Linda Ronstadt,Herself,Musician
068–409,9F07,Mr. Plow,Adam West,Himself,Actor
071–412,9F10,Marge vs. the Monorail,Leonard Nimoy,Himself,Actor
076–417,9F15,Last Exit to Springfield,Joyce Brothers,Herself,Science & Education
078–419,9F16,The Front,Brooke Shields,Herself,Actor
079–420,9F18,Whacking Day,Barry White,Himself,Musician
080–421,9F20,Marge in Chains,David Crosby,Himself,Musician
081–422,9F19,Krusty Gets Kancelled,Johnny Carson,Himself,Media & Journalism
081–422,9F19,Krusty Gets Kancelled,Hugh Hefner,Himself,Business & Tech
081–422,9F19,Krusty Gets Kancelled,Bette Midler,Herself,Actor
081–422,9F19,Krusty Gets Kancelled,Luke Perry,Himself,Actor
081–422,9F19,Krusty Gets Kancelled,Elizabeth Taylor,Herself,Actor
081–422,9F19,Krusty Gets Kancelled,Barry White,Himself,Musician
082–501,9F21,Homer's Barbershop Quartet,David Crosby,Himself,Musician
082–501,9F21,Homer's Barbershop Quartet,George Harrison,Himself,Musician
088–507,1F05,Bart's Inner Child,James Brown,Himself,Musician
089–508,1F06,Boy-Scoutz 'n the Hood,Ernest Borgnine,Himself,Actor
091–510,1F08,"$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)",Gerry Cooney,Himself,Athlete
