season,number,production_code,episode_title,guest_star,role,sector
2,018–205,7F05,Dancin' Homer,Tony Bennett,Himself,Singer
2,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Larry King,Himself,Journalist
2,031–218,7F18,Brush with Greatness,Ringo Starr,Himself,Musician
3,040–305,8F04,Homer Defined,Chick Hearn,Himself,Sportscaster
3,040–305,8F04,Homer Defined,Magic Johnson,Himself,Athlete (Basketball)
3,048–313,8F11,Radio Bart,Sting,Himself,Musician
3,052–317,8F13,Homer at the Bat,Wade Boggs,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Jose Canseco,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Roger Clemens,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,"Ken Griffey, Jr.",Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Don Mattingly,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Steve Sax,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Mike Scioscia,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Ozzie Smith,Himself,Athlete (Baseball)
3,052–317,8F13,Homer at the Bat,Darryl Strawberry,Himself,Athlete (Baseball)
3,058–323,8F23,"Brother, Can You Spare Two Dimes?",Joe Frazier,Himself,Athlete (Boxing)
4,063–404,9F02,Lisa the Beauty Queen,Bob Hope,Himself,Comedian/Actor
4,065–406,9F03,Itchy & Scratchy: The Movie,Neil Armstrong (archival),Himself,Astronaut
4,066–407,9F05,Marge Gets a Job,Tom Jones,Himself,Singer
4,068–409,9F07,Mr. Plow,Linda Ronstadt,Herself,Singer
4,068–409,9F07,Mr. Plow,Adam West,Himself,Actor
4,071–412,9F10,Marge vs. the Monorail,Leonard Nimoy,Himself,Actor
4,076–417,9F15,Last Exit to Springfield,Joyce Brothers,Herself,Psychologist
4,078–419,9F16,The Front,Brooke Shields,Herself,Actress
4,079–420,9F18,Whacking Day,Barry White,Himself,Singer
4,080–421,9F20,Marge in Chains,David Crosby,Himself,Musician
4,081–422,9F19,Krusty Gets Kancelled,Johnny Carson,Himself,Television Host
4,081–422,9F19,Krusty Gets Kancelled,Hugh Hefner,Himself,Publisher
4,081–422,9F19,Krusty Gets Kancelled,Bette Midler,Herself,Actress/Singer
4,081–422,9F19,Krusty Gets Kancelled,Luke Perry,Himself,Actor
4,081–422,9F19,Krusty Gets Kancelled,Elizabeth Taylor,Herself,Actress
4,081–422,9F19,Krusty Gets Kancelled,Barry White,Himself,Singer
5,082–501,9F21,Homer's Barbershop Quartet,David Crosby,Himself,Musician
5,082–501,9F21,Homer's Barbershop Quartet,George Harrison,Himself,Musician
5,088–507,1F05,Bart's Inner Child,James Brown,Himself,Singer
5,089–508,1F06,Boy-Scoutz 'n the Hood,Ernest Borgnine,Himself,Actor
5,091–510,1F08,"$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)",Gerry Cooney,Himself,Athlete (Boxing)
