award_id,organization,year,award_category,award,result,person,role,character,episode_id,season,episode
100,"Golden Globes, USA",2003,Golden Globe,Best Television Series - Comedy or Musical,Nominee,,,,,,
101,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,James L. Brooks,developer,,S30-E11,30.0,11.0
101,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,James L. Brooks,executive creative consultant,,S30-E11,30.0,11.0
101,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,James L. Brooks,executive producer,,S30-E11,30.0,11.0
102,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Matt Groening,character designer,,S30-E11,30.0,11.0
102,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Matt Groening,creative consultant,,S30-E11,30.0,11.0
102,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Matt Groening,creator,,S30-E11,30.0,11.0
102,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Matt Groening,developer,,S30-E11,30.0,11.0
102,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Matt Groening,executive producer,,S30-E11,30.0,11.0
103,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Al Jean,executive producer,,S30-E11,30.0,11.0
104,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Matt Selman,executive producer,,S30-E11,30.0,11.0
105,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,John Frink,executive producer,,S30-E11,30.0,11.0
106,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,J. Stewart Burns,co-executive producer,,S30-E11,30.0,11.0
107,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Bill Odenkirk,co-executive producer,,S30-E11,30.0,11.0
108,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Joel H. Cohen,co-executive producer,,S30-E11,30.0,11.0
109,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Rob LaZebnik,co-executive producer,,S30-E11,30.0,11.0
110,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Jeff Westbrook,co-executive producer,,S30-E11,30.0,11.0
111,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Winner,Brian Kelley,co-executive producer,,S30-E11,30.0,11.0
